Date,Animal_ID,Species,spint,Type,Site,Localisation,GPS_X,GPS_Y,Sex,Age_category,year,Distance_andratambe,Distance_Rendrirendry
14-Jun-14,BET.14.01,Canis familiaris,1,Exotic,South,PP300,309573,8016861,F,Adult,2015,1556.035679,419.5668118
13-Jul-14,BET.14.02,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,M,Adult,2015,182.0555102,1478.104098
13-Jul-14,BET.14.03,Felis catus,2,Exotic,Village,Andratambe,311181,8016356,F,Adult,2015,182.0555102,1478.104098
13-Jul-14,BET.14.04,Felis catus,2,Exotic,Village,Fotsimavo,312180,8015239,F,Subadult,2015,1560.829711,2759.661509
21-Jun-15,BET.15.01,Canis familiaris,1,Exotic,South,PP850,309430,8016980,F,Adult,2015,1734.10132,586.1365016
23-Jun-15,BET.15.02,Canis familiaris,1,Exotic,South,PP0,309691,8016471,M,Adult,2015,1338.913464,17.55800454
25-Jun-15,BET.15.03,Canis familiaris,1,Exotic,South,PP700,309430,8016980,F,Adult,2015,1734.10132,586.1365016
6-Jul-15,BET.15.04,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,M,Adult,2015,182.0555102,1478.104098
6-Jul-15,BET.15.05,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,F,Subadult,2015,182.0555102,1478.104098
6-Jul-15,BET.15.06,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,F,Subadult,2015,182.0555102,1478.104098
6-Jul-15,BET.15.07,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,F,Adult,2015,182.0555102,1478.104098
6-Jul-15,BET.15.08,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,F,Adult,2015,182.0555102,1478.104098
6-Jul-15,BET.15.09,Felis catus,2,Exotic,Village,Andratambe,311181,8016356,M,Adult,2015,182.0555102,1478.104098
6-Jul-15,BET.15.10,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,M,Subadult,2015,182.0555102,1478.104098
16-Jul-15,BET.15.12,Canis familiaris,1,Exotic,Center,PP3650,309957,8019470,F,Adult,2015,3362.228085,3017.05339
21-Jul-15,BET.15.13,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,F,Adult,2015,182.0555102,1478.104098
18-Jul-15,BET.15.15,Cryptoprocta ferox,4,Endemic,South,PS175,309724,8018354,F,Adult,2015,2444.456472,1890.739249
21-Jul-15,BET.15.16,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,M,Adult,2015,182.0555102,1478.104098
21-Jul-15,BET.15.17,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,M,Adult,2015,182.0555102,1478.104098
21-Jul-15,BET.15.18,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,M,Subadult,2015,182.0555102,1478.104098
21-Jul-15,BET.15.19,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,M,Adult,2015,182.0555102,1478.104098
21-Jul-15,BET.15.26,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,F,Adult,2015,182.0555102,1478.104098
21-Jul-15,BET.15.27,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,F,Adult,2015,182.0555102,1478.104098
5-Aug-15,BET.15.28,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,M,Adult,2015,182.0555102,1478.104098
5-Aug-15,BET.15.30,Canis familiaris,1,Exotic,Village,Fotsimavo,312180,8015239,M,Adult,2015,1560.829711,2759.661509
5-Aug-15,BET.15.31,Canis familiaris,1,Exotic,Village,Andratambe,311181,8016356,M,Adult,2015,182.0555102,1478.104098
5-Aug-15,BET.15.32,Canis familiaris,1,Exotic,Village,Sahasarotra,311844,8016109,M,Adult,2015,845.1930943,2166.376324
28-Aug-15,BET.15.33,Canis familiaris,1,Exotic,Village,Fotsimavo,312180,8015239,F,Adult,2015,1560.829711,2759.661509
28-Aug-15,BET.15.34,Canis familiaris,1,Exotic,Village,Fotsimavo,312180,8015239,F,Adult,2015,1560.829711,2759.661509
28-Aug-15,BET.15.35,Canis familiaris,1,Exotic,Village,Fotsimavo,312180,8015239,F,Adult,2015,1560.829711,2759.661509
